INLINE MagClassTable,Base Magic,Magic Growth,Magic Cap,Magic Promotion Bonus
None,0,0,0,0
Ephraim Lord,0,0,0,0
Eirika Lord,0,0,0,0
Ephraim Master Lord,0,0,0,0
Eirika Master Lord,0,0,0,0
Cavalier,0,0,0,0
Cavalier (F),0,0,0,0
Paladin,0,0,0,0
Paladin (F),0,0,0,0
Armour Knight,0,0,0,0
Armour Knight (F),0,0,0,0
General,0,0,0,0
General (F),0,0,0,0
Thief,0,0,0,0
Manakete,0,0,0,0
Mercenary,0,0,0,0
Mercenary (F),0,0,0,0
Hero,0,0,0,0
Hero (F),0,0,0,0
Myrmidon,0,0,0,0
Myrmidon (F),0,0,0,0
Swordmaster,0,0,0,0
Swordmaster (F),0,0,0,0
Assassin,0,0,0,0
Assassin (F),0,0,0,0
Archer,0,0,0,0
Archer (F),0,0,0,0
Sniper,0,0,0,0
Sniper (F),0,0,0,0
Ranger,0,0,0,0
Ranger (F),0,0,0,0
Wyvern Rider,0,0,0,0
Wyvern Rider (F),0,0,0,0
Wyvern Lord,0,0,0,0
Wyvern Lord (F),0,0,0,0
Wyvern Knight,0,0,0,0
Wyvern Knight (F),0,0,0,0
Mage,0,0,0,0
Mage (F),0,0,0,0
Sage,0,0,0,0
Sage (F),0,0,0,0
Mage Knight,0,0,0,0
Mage Knight (F),0,0,0,0
Bishop,0,0,0,0
Bishop (F),0,0,0,0
Shaman,0,0,0,0
Shaman (F),0,0,0,0
Druid,0,0,0,0
Druid (F),0,0,0,0
Summoner,0,0,0,0
Summoner (F),0,0,0,0
Rogue,0,0,0,0
Gorgon Egg,0,0,0,0
Great Knight,0,0,0,0
Great Knight (F),0,0,0,0
Recruit (2),0,0,0,0
Journeyman (3),0,0,0,0
Pupil (3),0,0,0,0
Recruit (3),0,0,0,0
Manakete,0,0,0,0
Manakete (F),0,0,0,0
Journeyman (1),0,0,0,0
Pupil (1),0,0,0,0
Fighter,0,0,0,0
Warrior,0,0,0,0
Brigand,0,0,0,0
Pirate,0,0,0,0
Berserker,0,0,0,0
Monk,0,0,0,0
Priest,0,0,0,0
Bard,0,0,0,0
Recruit (1),0,0,0,0
Pegasus Knight,0,0,0,0
Falcon Knight,0,0,0,0
Cleric,0,0,0,0
Troubadour,0,0,0,0
Valkyrie,0,0,0,0
Dancer,0,0,0,0
Soldier,0,0,0,0
Necromancer,0,0,0,0
Fleet,0,0,0,0
Phantom,0,0,0,0
Revenant,0,0,0,0
Entombed,0,0,0,0
Bonewalker,0,0,0,0
Bonewalker (Bow),0,0,0,0
Wight,0,0,0,0
Wight (Bow),0,0,0,0
Bael,0,0,0,0
Elder Bael,0,0,0,0
Cyclops,0,0,0,0
Mauthe Doog,0,0,0,0
Gwyllgi,0,0,0,0
Tarvos,0,0,0,0
Maelduin,0,0,0,0
Mogall,0,0,0,0
Arch Mogall,0,0,0,0
Gorgon,0,0,0,0
Gorgon Egg,0,0,0,0
Gargoyle,0,0,0,0
Deathgoyle,0,0,0,0
Dracozombie,0,0,0,0
Demon King,0,0,0,0
Archer on Ballista,0,0,0,0
Archer on Iron Ballista,0,0,0,0
Archer on Killer Ballista,0,0,0,0
Ballista,0,0,0,0
Iron Ballista,0,0,0,0
Killer Ballista,0,0,0,0
Civilian,0,0,0,0
Civilian (F),0,0,0,0
Civilian,0,0,0,0
Civilian (F),0,0,0,0
Civilian,0,0,0,0
Civilian (F),0,0,0,0
Peer,0,0,0,0
Queen,0,0,0,0
Prince,0,0,0,0
Queen,0,0,0,0
(empty),0,0,0,0
Fallen Prince,0,0,0,0
Tent,0,0,0,0
Pontifex,0,0,0,0
Dead Peer,0,0,0,0
Cyclops,0,0,0,0
Elder Bael,0,0,0,0
Journeyman (2),0,0,0,0
Pupil (2),0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
Ephraim Lord,0,0,0,0
